Rate,Years
1.0,1.1444464738711315
2.0,1.1623955479452055
4.0,1.1715829528158295
8.0,1.1762313546423135
12.0,1.177789193302892
15.0,1.178413717656012
30.0,1.1796651445966515
45.0,1.1800827625570776
60.0,1.18029299847793
120.0,1.1806088280060882
180.0,1.1807134703196347
240.0,1.1807686453576864
300.0,1.180802891933029
600.0,1.18087899543379
900.0,1.1809075342465754
1800.0,1.1809931506849316
2700.0,1.1809931506849316
3600.0,1.1810502283105022
7200.0,1.1812785388127856
14400.0,1.1817351598173516
21600.0,1.1821917808219178
32400.0,1.1825342465753426
43200.0,1.1835616438356165
86400.0,1.1863013698630136
