Rate,Years
1.0,1.1461731671740234
2.0,1.1632855149670218
4.0,1.1720347539320142
8.0,1.1764591577879249
12.0,1.177941400304414
15.0,1.1785354832572297
30.0,1.1797260273972603
45.0,1.1801241438356165
60.0,1.1803234398782343
120.0,1.1806240487062405
180.0,1.1807248858447488
240.0,1.1807762557077626
300.0,1.180812404870624
600.0,1.18087899543379
900.0,1.1809075342465754
1800.0,1.1809931506849316
2700.0,1.1809931506849316
3600.0,1.1810502283105022
7200.0,1.1812785388127856
14400.0,1.1817351598173516
21600.0,1.1821917808219178
32400.0,1.1825342465753426
43200.0,1.1835616438356165
86400.0,1.1863013698630136
