Rate,Years
1.0,1.144138698630137
2.0,1.1622367453069509
4.0,1.1715022831050228
8.0,1.1761907661085744
12.0,1.1777621765601216
15.0,1.1783918378995435
30.0,1.1796537290715372
45.0,1.1800756278538813
60.0,1.180287290715373
120.0,1.1806050228310503
180.0,1.1807134703196347
240.0,1.1807686453576864
300.0,1.180802891933029
600.0,1.18087899543379
900.0,1.1809075342465754
1800.0,1.1809931506849316
2700.0,1.1809931506849316
3600.0,1.1810502283105022
7200.0,1.1812785388127856
14400.0,1.1817351598173516
21600.0,1.1821917808219178
32400.0,1.1825342465753426
43200.0,1.1835616438356165
86400.0,1.1863013698630136
