Rate,Years
1.0,1.144384925164891
2.0,1.1623637747336377
4.0,1.1715667174023339
8.0,1.1762232369355659
12.0,1.1777838660578386
15.0,1.1784094368340945
30.0,1.1796622907153729
45.0,1.1800813356164384
60.0,1.180291095890411
120.0,1.1806088280060882
180.0,1.1807134703196347
240.0,1.1807686453576864
300.0,1.180802891933029
600.0,1.18087899543379
900.0,1.1809075342465754
1800.0,1.1809931506849316
2700.0,1.1809931506849316
3600.0,1.1810502283105022
7200.0,1.1812785388127856
14400.0,1.1817351598173516
21600.0,1.1821917808219178
32400.0,1.1825342465753426
43200.0,1.1835616438356165
86400.0,1.1863013698630136
