Rate,Years
1.0,0.2156326103500761
2.0,0.3646761796042618
4.0,0.5572648401826484
8.0,0.7572090309487569
12.0,0.8600726788432268
15.0,0.9094929604261796
30.0,1.0275846651445968
45.0,1.0740724885844748
60.0,1.0989288432267885
120.0,1.138451293759513
180.0,1.15226598173516
240.0,1.1593074581430747
300.0,1.1635654490106546
600.0,1.172203196347032
900.0,1.1751141552511417
1800.0,1.178082191780822
2700.0,1.1791095890410959
3600.0,1.179566210045662
7200.0,1.1805936073059362
14400.0,1.1812785388127856
21600.0,1.1815068493150684
32400.0,1.1825342465753426
43200.0,1.1821917808219178
86400.0,1.1863013698630136
