Rate,Years
1.0,0.5079266552511416
2.0,0.7103311770674784
4.0,0.8870777524099441
8.0,1.0131217656012177
12.0,1.06349200913242
15.0,1.0850708713850836
30.0,1.1309674657534248
45.0,1.1471418378995435
60.0,1.1554052511415525
120.0,1.1680251141552511
180.0,1.1722945205479451
240.0,1.1744444444444444
300.0,1.17574200913242
600.0,1.1783485540334855
900.0,1.1792237442922375
1800.0,1.1801369863013698
2700.0,1.1804794520547945
3600.0,1.1807077625570777
7200.0,1.1810502283105022
14400.0,1.1812785388127856
21600.0,1.1821917808219178
32400.0,1.1825342465753426
43200.0,1.1835616438356165
86400.0,1.1863013698630136
