Rate,Years
1.0,0.7123054604261796
2.0,0.8886156139015728
4.0,1.0141237950279047
8.0,1.091183409436834
12.0,1.1195399543378997
15.0,1.1312999429223745
30.0,1.1555764840182647
45.0,1.1639026826484018
60.0,1.1681107305936074
120.0,1.174482496194825
180.0,1.176626712328767
240.0,1.1777016742770168
300.0,1.1783485540334855
600.0,1.1796423135464231
900.0,1.1801084474885843
1800.0,1.1805936073059362
2700.0,1.180736301369863
3600.0,1.180821917808219
7200.0,1.1810502283105022
14400.0,1.1817351598173516
21600.0,1.1821917808219178
32400.0,1.1825342465753426
43200.0,1.1835616438356165
86400.0,1.1863013698630136
