Rate,Years
1.0,0.46691917174023334
2.0,0.6692324961948249
4.0,0.8543179857940132
8.0,0.9914124809741248
12.0,1.0474410197869102
15.0,1.0716666666666668
30.0,1.1236434550989345
45.0,1.142107591324201
60.0,1.1515696347031965
120.0,1.1660616438356164
180.0,1.1709760273972603
240.0,1.173447488584475
300.0,1.1749429223744292
600.0,1.17794901065449
900.0,1.178966894977169
1800.0,1.1800228310502283
2700.0,1.1803938356164383
3600.0,1.1805936073059362
7200.0,1.1810502283105022
14400.0,1.1812785388127856
21600.0,1.1821917808219178
32400.0,1.1825342465753426
43200.0,1.1835616438356165
86400.0,1.1863013698630136
