Rate,Years
1.0,0.41266841070522575
2.0,0.6116109208523591
4.0,0.8058581938102486
8.0,0.9579863013698631
12.0,1.022316590563166
15.0,1.0505346270928462
30.0,1.111917808219178
45.0,1.13400399543379
60.0,1.1453805175038052
120.0,1.1628805175038053
180.0,1.1688356164383562
240.0,1.171841704718417
300.0,1.1736491628614916
600.0,1.177283105022831
900.0,1.1785102739726028
1800.0,1.1797945205479452
2700.0,1.180222602739726
3600.0,1.1804794520547945
7200.0,1.1810502283105022
14400.0,1.1812785388127856
21600.0,1.1815068493150684
32400.0,1.1825342465753426
43200.0,1.1835616438356165
86400.0,1.1863013698630136
