Rate,Years
1.0,0.41357505707762554
2.0,0.6126061009639777
4.0,0.8067215880263826
8.0,0.9585961440892947
12.0,1.0227792998477931
15.0,1.0509256088280061
30.0,1.112136605783866
45.0,1.134156678082192
60.0,1.1454965753424657
120.0,1.162941400304414
180.0,1.1688755707762557
240.0,1.1718721461187216
300.0,1.173668188736682
600.0,1.1773021308980214
900.0,1.1785388127853882
1800.0,1.1797945205479452
2700.0,1.180222602739726
3600.0,1.1804794520547945
7200.0,1.1810502283105022
14400.0,1.1812785388127856
21600.0,1.1815068493150684
32400.0,1.1825342465753426
43200.0,1.1835616438356165
86400.0,1.1863013698630136
